yearQuarter,state,totalRX
2020.25,MO,2471
2020.5,MO,3083
2020.75,MO,3143
2021,MO,3424
2012,MS,77
2012.25,MS,223
2012.5,MS,262
2012.75,MS,300
2013,MS,365
2013.25,MS,355
2013.5,MS,362
2013.75,MS,344
2014,MS,367
2014.25,MS,346
2014.5,MS,265
2014.75,MS,371
2015,MS,345
2015.25,MS,304
2015.5,MS,320
2015.75,MS,303
2016,MS,392
2016.25,MS,379
2016.5,MS,375
2016.75,MS,400
2017,MS,402
2017.25,MS,465
2017.5,MS,432
2017.75,MS,485
2018,MS,513
2018.25,MS,535
2018.5,MS,572
2018.75,MS,477
2019,MS,578
2019.25,MS,616
2019.5,MS,674
2019.75,MS,587
2020,MS,602
2020.25,MS,405
2020.5,MS,398
2020.75,MS,419
2021,MS,419
2012,MT,80
2012.25,MT,182
2012.5,MT,141
2012.75,MT,182
2013,MT,194
2013.25,MT,193
2013.5,MT,147
2013.75,MT,183
2014,MT,192
2014.25,MT,202
2014.5,MT,191
2014.75,MT,179
2015,MT,218
2015.25,MT,243
2015.5,MT,189
2015.75,MT,194
2016,MT,394
2016.25,MT,656
2016.5,MT,747
2016.75,MT,798
2017,MT,992
2017.25,MT,1088
2017.5,MT,1076
2017.75,MT,1144
2018,MT,1105
2018.25,MT,1302
2018.5,MT,1131
2018.75,MT,1369
2019,MT,1281
2019.25,MT,1309
2019.5,MT,1307
2019.75,MT,1252
2020,MT,1246
2020.25,MT,1014
2020.5,MT,1011
2020.75,MT,923
2021,MT,1005
2012,NC,896
2012.25,NC,2241
2012.5,NC,2403
2012.75,NC,2408
2013,NC,2741
2013.25,NC,2390
2013.5,NC,2260
2013.75,NC,2228
2014,NC,2081
2014.25,NC,2278
2014.5,NC,2579
2014.75,NC,2122
2015,NC,2264
2015.25,NC,1884
2015.5,NC,2150
2015.75,NC,2145
2016,NC,2484
2016.25,NC,2293
2016.5,NC,2526
2016.75,NC,2311
2017,NC,3054
2017.25,NC,2378
2017.5,NC,2834
2017.75,NC,2459
2018,NC,3024
2018.25,NC,2523
2018.5,NC,2875
2018.75,NC,2500
2019,NC,2856
2019.25,NC,2556
2019.5,NC,3030
2019.75,NC,2807
2020,NC,1972
2020.25,NC,1038
2020.5,NC,4496
2020.75,NC,2187
2021,NC,2559
2012.75,ND,16
2013,ND,25
2013.25,ND,38
2013.5,ND,20
2013.75,ND,19
2014,ND,16
2014.25,ND,16
2014.5,ND,50
2014.75,ND,42
2015,ND,126
2015.25,ND,171
2015.5,ND,138
2015.75,ND,146
2016,ND,146
2016.25,ND,168
2016.5,ND,168
2016.75,ND,215
2017,ND,206
2017.25,ND,212
2017.5,ND,192
2017.75,ND,186
2018,ND,217
2018.25,ND,227
2018.5,ND,193
2018.75,ND,147
2019,ND,234
2019.25,ND,216
2019.5,ND,218
2019.75,ND,195
2020,ND,282
2020.25,ND,173
2020.5,ND,187
2020.75,ND,225
2021,ND,217
2012,NE,48
2012.25,NE,201
2012.5,NE,220
2012.75,NE,207
2013,NE,194
2013.25,NE,246
2013.5,NE,262
2013.75,NE,206
2014,NE,156
2014.25,NE,160
2014.5,NE,179
2014.75,NE,158
2015,NE,165
2015.25,NE,128
2015.5,NE,128
2015.75,NE,140
2016,NE,114
2016.25,NE,141
2016.5,NE,149
2016.75,NE,171
2017,NE,349
2017.25,NE,133
2017.5,NE,165
2017.75,NE,133
2018,NE,184
2018.25,NE,215
2018.5,NE,63
2018.75,NE,50
2019,NE,116
2019.25,NE,131
2019.5,NE,150
2019.75,NE,174
2020,NE,116
2020.25,NE,120
2020.5,NE,147
2020.75,NE,176
2021,NE,131
2012,NH,57
2012.25,NH,155
2012.5,NH,202
2012.75,NH,177
2013,NH,234
2013.25,NH,216
2013.5,NH,191
2013.75,NH,174
2014,NH,12
2014.75,NH,16
2015,NH,14
2015.5,NH,24
2015.75,NH,323
2016,NH,202
2016.25,NH,197
2016.5,NH,184
2016.75,NH,247
2017,NH,247
2017.25,NH,268
2017.5,NH,246
2017.75,NH,291
2018,NH,263
2018.25,NH,266
2018.5,NH,218
2018.75,NH,293
2019,NH,598
2019.25,NH,604
2019.5,NH,475
2019.75,NH,380
2020,NH,609
2020.25,NH,471
2020.5,NH,464
2020.75,NH,480
2021,NH,376
2012,NJ,265
2012.25,NJ,1402
2012.5,NJ,1226
2012.75,NJ,1216
2013,NJ,1357
2013.25,NJ,1170
2013.5,NJ,1032
2013.75,NJ,982
2014,NJ,985
2014.25,NJ,2248
2014.5,NJ,1313
2014.75,NJ,2441
